host_ts,dev_ms,adc
1789786981.778,347683,0
1789786981.788,347693,0
1789786981.798,347704,0
1789786981.809,347714,0
1789786981.820,347725,0
1789786981.830,347736,0
1789786981.841,347746,0
1789786981.851,347757,0
1789786981.862,347767,0
1789786981.872,347778,0
1789786981.883,347788,0
1789786981.893,347799,0
1789786981.904,347809,0
1789786981.914,347820,0
1789786981.925,347830,0
1789786981.936,347841,0
1789786981.947,347851,0
1789786981.957,347862,0
1789786981.967,347872,0
1789786981.978,347883,0
1789786981.988,347893,0
1789786981.999,347904,0
1789786982.009,347915,0
1789786982.020,347925,0
1789786982.052,347936,0
1789786982.052,347946,0
1789786982.056,347957,0
1789786982.062,347967,0
1789786982.075,347978,0
1789786982.086,347988,0
1789786982.093,347999,0
1789786982.104,348009,0
1789786982.114,348020,0
1789786982.125,348030,0
1789786982.135,348041,0
1789786982.146,348051,0
1789786982.156,348062,0
1789786982.167,348072,0
1789786982.178,348083,0
1789786982.188,348093,0
1789786982.199,348104,0
1789786982.209,348115,0
1789786982.220,348125,0
1789786982.230,348136,0
1789786982.241,348146,0
1789786982.251,348157,0
1789786982.262,348167,0
1789786982.272,348178,0
1789786982.283,348188,0
1789786982.293,348199,0
1789786982.304,348209,0
1789786982.315,348220,0
1789786982.325,348230,0
1789786982.336,348241,0
1789786982.346,348251,0
1789786982.357,348262,0
1789786982.396,348272,0
1789786982.396,348283,0
1789786982.396,348294,0
1789786982.399,348304,0
1789786982.409,348315,0
1789786982.420,348325,0
1789786982.430,348336,0
1789786982.441,348346,0
1789786982.451,348357,0
1789786982.462,348367,0
1789786982.472,348378,0
1789786982.483,348388,0
1789786982.493,348399,0
1789786982.504,348409,0
1789786982.515,348420,0
1789786982.525,348430,0
1789786982.535,348441,0
1789786982.546,348451,0
1789786982.557,348462,0
1789786982.567,348473,0
1789786982.578,348483,0
1789786982.588,348494,0
1789786982.599,348504,0
1789786982.609,348515,0
1789786982.620,348525,0
1789786982.631,348536,0
1789786982.641,348546,0
1789786982.651,348557,0
1789786982.662,348567,0
1789786982.672,348578,0
1789786982.710,348588,0
1789786982.711,348599,0
1789786982.711,348609,0
1789786982.715,348620,0
1789786982.725,348630,0
1789786982.736,348641,0
1789786982.746,348651,0
1789786982.756,348662,0
1789786982.767,348673,0
1789786982.778,348683,0
1789786982.788,348694,0
1789786982.799,348704,0
1789786982.809,348715,0
1789786982.820,348725,0
1789786982.830,348736,0
1789786982.841,348746,0
1789786982.851,348757,0
1789786982.862,348767,0
1789786982.872,348778,0
1789786982.883,348788,0
1789786982.893,348799,0
1789786982.904,348809,0
1789786982.915,348820,0
1789786982.925,348830,0
1789786982.936,348841,0
1789786982.946,348852,0
1789786982.957,348862,0
1789786982.967,348873,0
1789786982.978,348883,0
1789786983.021,348894,0
1789786983.025,348904,0
1789786983.026,348915,0
1789786983.026,348925,0
1789786983.031,348936,0
1789786983.041,348946,0
1789786983.051,348957,0
1789786983.062,348967,0
1789786983.072,348978,0
1789786983.083,348988,0
1789786983.093,348999,0
1789786983.104,349009,0
1789786983.114,349020,0
1789786983.125,349031,0
1789786983.136,349041,0
1789786983.147,349052,0
1789786983.157,349062,0
1789786983.167,349073,0
1789786983.178,349083,0
1789786983.188,349094,0
1789786983.199,349104,0
1789786983.210,349115,0
1789786983.221,349125,0
1789786983.231,349136,0
1789786983.241,349146,0
1789786983.252,349157,0
1789786983.262,349167,0
1789786983.273,349178,0
1789786983.283,349188,0
1789786983.294,349199,0
1789786983.329,349209,0
1789786983.330,349220,0
1789786983.330,349231,0
1789786983.341,349241,0
1789786983.348,349252,0
1789786983.357,349262,0
1789786983.367,349273,0
1789786983.378,349283,0
1789786983.388,349294,0
1789786983.399,349304,0
1789786983.409,349315,0
1789786983.420,349325,0
1789786983.430,349336,0
1789786983.441,349346,0
1789786983.451,349357,0
1789786983.464,349367,0
1789786983.473,349378,0
1789786983.483,349388,0
1789786983.494,349399,0
1789786983.505,349410,0
1789786983.515,349420,0
1789786983.525,349431,0
1789786983.536,349441,0
1789786983.546,349452,0
1789786983.557,349462,0
1789786983.567,349473,0
1789786983.578,349483,0
1789786983.589,349494,0
1789786983.599,349504,0
1789786983.609,349515,0
1789786983.659,349525,0
1789786983.660,349536,0
1789786983.660,349546,0
1789786983.660,349557,0
1789786983.662,349567,0
1789786983.673,349578,0
1789786983.683,349589,0
1789786983.694,349599,0
1789786983.704,349610,0
1789786983.715,349620,0
1789786983.725,349631,0
1789786983.736,349641,0
1789786983.746,349652,0
1789786983.757,349662,0
1789786983.767,349673,0
1789786983.778,349683,0
1789786983.789,349694,0
1789786983.799,349704,0
1789786983.809,349715,0
1789786983.821,349725,0
1789786983.831,349736,0
1789786983.841,349746,0
1789786983.853,349757,0
1789786983.862,349767,0
1789786983.873,349778,0
1789786983.883,349789,0
1789786983.894,349799,0
1789786983.905,349810,0
1789786983.915,349820,0
1789786983.925,349831,0
1789786983.936,349841,0
1789786983.978,349852,0
1789786983.978,349862,0
1789786983.978,349873,0
1789786983.978,349883,0
1789786983.988,349894,0
1789786983.999,349904,0
1789786984.009,349915,0
1789786984.020,349925,0
1789786984.030,349936,0
1789786984.041,349946,0
1789786984.052,349957,0
1789786984.062,349968,0
1789786984.073,349978,0
1789786984.083,349989,0
1789786984.094,349999,0
1789786984.104,350010,0
1789786984.115,350020,0
1789786984.125,350031,0
1789786984.136,350041,0
1789786984.146,350052,0
1789786984.157,350062,0
1789786984.168,350073,0
1789786984.178,350083,0
1789786984.189,350094,0
1789786984.199,350104,0
1789786984.209,350115,0
1789786984.220,350125,0
1789786984.231,350136,0
1789786984.241,350147,0
1789786984.252,350157,0
1789786984.288,350168,0
1789786984.289,350178,0
1789786984.289,350189,0
1789786984.299,350199,0
1789786984.304,350210,0
1789786984.315,350220,0
1789786984.325,350231,0
1789786984.336,350241,0
1789786984.346,350252,0
1789786984.357,350262,0
1789786984.367,350273,0
1789786984.378,350283,0
1789786984.388,350294,0
1789786984.399,350304,0
1789786984.410,350315,0
1789786984.420,350325,0
1789786984.431,350336,0
1789786984.441,350347,0
1789786984.452,350357,0
1789786984.462,350368,0
1789786984.473,350378,0
1789786984.483,350389,0
1789786984.494,350399,0
1789786984.506,350410,0
1789786984.515,350420,0
1789786984.525,350431,0
1789786984.537,350441,0
1789786984.546,350452,0
1789786984.557,350462,0
1789786984.567,350473,0
1789786984.613,350483,0
1789786984.614,350494,0
1789786984.614,350504,0
1789786984.614,350515,0
1789786984.620,350526,0
1789786984.630,350536,0
1789786984.641,350547,0
1789786984.652,350557,0
1789786984.662,350568,0
1789786984.673,350578,0
1789786984.683,350589,0
1789786984.694,350599,0
1789786984.704,350610,0
1789786984.715,350620,0
1789786984.726,350631,0
1789786984.736,350641,0
1789786984.746,350652,0
1789786984.757,350662,0
1789786984.767,350673,0
1789786984.784,350683,0
1789786984.789,350694,0
1789786984.799,350705,0
1789786984.810,350715,0
1789786984.821,350726,0
1789786984.831,350736,0
1789786984.841,350747,0
1789786984.852,350757,0
1789786984.862,350768,0
1789786984.873,350778,0
1789786984.883,350789,0
1789786984.929,350799,0
1789786984.929,350810,0
1789786984.929,350820,0
1789786984.929,350831,0
1789786984.936,350841,0
1789786984.946,350852,0
1789786984.957,350862,0
1789786984.967,350873,0
1789786984.978,350884,0
1789786984.989,350894,0
1789786985.000,350905,0
1789786985.011,350916,0
1789786985.021,350927,0
1789786985.032,350937,0
1789786985.042,350948,0
1789786985.053,350958,0
1789786985.063,350969,0
1789786985.074,350979,0
1789786985.084,350990,0
1789786985.095,351000,0
1789786985.110,351011,0
1789786985.116,351021,0
1789786985.126,351032,0
1789786985.137,351042,0
1789786985.148,351053,0
1789786985.158,351063,0
1789786985.169,351074,0
1789786985.179,351084,0
1789786985.190,351095,0
1789786985.200,351106,0
1789786985.236,351116,0
1789786985.236,351127,0
1789786985.236,351137,0
1789786985.247,351148,0
1789786985.253,351158,0
1789786985.263,351169,0
1789786985.274,351179,0
1789786985.284,351190,0
1789786985.295,351200,0
1789786985.305,351211,0
1789786985.316,351221,0
1789786985.326,351232,0
1789786985.337,351242,0
1789786985.348,351253,0
1789786985.358,351263,0
1789786985.369,351274,0
1789786985.379,351285,0
1789786985.390,351295,0
1789786985.400,351306,0
1789786985.411,351316,0
1789786985.422,351327,0
1789786985.432,351337,0
1789786985.442,351348,0
1789786985.453,351358,0
1789786985.463,351369,0
1789786985.474,351379,0
1789786985.484,351390,0
1789786985.495,351400,0
1789786985.505,351411,0
1789786985.516,351421,0
1789786985.562,351432,0
1789786985.562,351442,0
1789786985.562,351453,0
1789786985.562,351464,0
1789786985.570,351474,0
1789786985.579,351485,0
1789786985.590,351495,0
1789786985.600,351506,0
1789786985.611,351516,0
1789786985.621,351527,0
1789786985.632,351537,0
1789786985.642,351548,0
1789786985.653,351558,0
1789786985.663,351569,0
1789786985.674,351579,0
1789786985.685,351590,0
1789786985.695,351600,0
1789786985.706,351611,0
1789786985.716,351621,0
1789786985.726,351632,0
1789786985.737,351642,0
1789786985.748,351653,0
1789786985.758,351664,0
1789786985.769,351674,0
1789786985.779,351685,0
1789786985.790,351695,0
1789786985.800,351706,0
1789786985.811,351716,0
1789786985.821,351727,0
1789786985.832,351737,0
1789786985.881,351748,0
1789786985.881,351758,0
1789786985.881,351769,0
1789786985.881,351779,0
1789786985.886,351790,0
1789786985.895,351800,0
1789786985.905,351811,0
1789786985.916,351821,0
1789786985.927,351832,0
1789786985.937,351843,0
1789786985.948,351853,0
1789786985.958,351864,0
1789786985.969,351874,0
1789786985.979,351885,0
1789786985.990,351895,0
1789786986.000,351906,0
1789786986.011,351916,0
1789786986.021,351927,0
1789786986.032,351937,0
1789786986.043,351948,0
1789786986.053,351958,0
1789786986.063,351969,0
1789786986.074,351979,0
1789786986.085,351990,0
1789786986.095,352000,0
1789786986.106,352011,0
1789786986.116,352021,0
1789786986.127,352032,0
1789786986.137,352043,0
1789786986.148,352053,0
1789786986.158,352064,0
1789786986.189,352074,0
1789786986.189,352085,0
1789786986.190,352095,0
1789786986.201,352106,0
1789786986.211,352116,0
1789786986.221,352127,0
1789786986.232,352137,0
1789786986.243,352148,0
1789786986.253,352158,0
1789786986.263,352169,0
1789786986.274,352179,0
1789786986.285,352190,0
1789786986.295,352200,0
1789786986.306,352211,0
1789786986.316,352222,0
1789786986.327,352232,0
1789786986.338,352243,0
1789786986.348,352253,0
1789786986.358,352264,0
1789786986.369,352274,0
1789786986.381,352285,0
1789786986.390,352295,0
1789786986.400,352306,0
1789786986.411,352316,0
1789786986.422,352327,0
1789786986.432,352337,0
1789786986.443,352348,0
1789786986.453,352358,0
1789786986.463,352369,0
1789786986.474,352379,0
1789786986.495,352390,0
1789786986.495,352400,0
1789786986.516,352411,0
1789786986.517,352422,0
1789786986.527,352432,0
1789786986.537,352443,0
1789786986.548,352453,0
1789786986.558,352464,0
1789786986.569,352474,0
1789786986.579,352485,0
1789786986.590,352495,0
1789786986.600,352506,0
1789786986.611,352516,0
1789786986.622,352527,0
1789786986.632,352537,0
1789786986.642,352548,0
1789786986.653,352558,0
1789786986.664,352569,0
1789786986.674,352579,0
1789786986.685,352590,0
1789786986.695,352601,0
1789786986.706,352611,0
1789786986.716,352622,0
1789786986.727,352632,0
1789786986.737,352643,0
1789786986.748,352653,0
1789786986.758,352664,0
1789786986.769,352674,0
1789786986.779,352685,0
1789786986.790,352695,0
1789786986.830,352706,0
1789786986.830,352716,0
1789786986.832,352727,0
1789786986.832,352737,0
1789786986.843,352748,0
1789786986.853,352758,0
1789786986.863,352769,0
1789786986.874,352780,0
1789786986.885,352790,0
1789786986.895,352801,0
